task,model,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,n_estimators_max,early_stopping_rounds,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_best_iteration_mean
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=5_sub=1.0_col=0.4_lambda=0.0_alpha=0.0_gamma=0.0_mcw=2.0,0.01,5,2.0,1.0,0.4,0.0,0.0,0.0,2000,50,54,14,35882,0.8148148148148149,0.7712842712842711,0.8642140468227426,0.9078884078884079,94.33333333333333
symptomatic_non_covid_vs_covid,xgb_lr=0.1_depth=5_sub=0.85_col=0.6_lambda=5.0_alpha=0.5_gamma=0.0_mcw=1.0,0.1,5,1.0,0.85,0.6,5.0,0.5,0.0,2000,50,54,14,35882,0.7962962962962963,0.7507215007215008,0.8518208844295801,0.8863636363636364,118.0
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=3_sub=0.7_col=0.8_lambda=5.0_alpha=0.0_gamma=1.0_mcw=2.0,0.01,3,2.0,0.7,0.8,5.0,0.0,1.0,2000,50,54,14,35882,0.7962962962962963,0.7400793650793651,0.8574358974358974,0.9008537758537759,787.3333333333334
symptomatic_non_covid_vs_covid,xgb_lr=0.1_depth=5_sub=0.85_col=1.0_lambda=1.0_alpha=1.0_gamma=0.0_mcw=2.0,0.1,5,2.0,0.85,1.0,1.0,1.0,0.0,2000,50,54,14,35882,0.7962962962962963,0.7308802308802308,0.865079365079365,0.8369408369408369,70.0
symptomatic_non_covid_vs_covid,xgb_lr=0.05_depth=4_sub=0.7_col=0.4_lambda=5.0_alpha=1.0_gamma=0.5_mcw=2.0,0.05,4,2.0,0.7,0.4,5.0,1.0,0.5,2000,50,54,14,35882,0.7777777777777778,0.7202380952380952,0.8487654320987654,0.88997113997114,447.0
symptomatic_non_covid_vs_covid,xgb_lr=0.03_depth=6_sub=0.85_col=0.6_lambda=1.0_alpha=0.0_gamma=0.0_mcw=2.0,0.03,6,2.0,0.85,0.6,1.0,0.0,0.0,2000,50,54,14,35882,0.7777777777777778,0.7169913419913421,0.8435112927866552,0.8186026936026937,162.33333333333334
symptomatic_non_covid_vs_covid,xgb_lr=0.1_depth=6_sub=0.5_col=0.4_lambda=1.0_alpha=0.5_gamma=1.0_mcw=1.0,0.1,6,1.0,0.5,0.4,1.0,0.5,1.0,2000,50,54,14,35882,0.7592592592592594,0.6924603174603173,0.8395402298850575,0.8154761904761904,70.0
symptomatic_non_covid_vs_covid,xgb_lr=0.05_depth=6_sub=0.85_col=0.4_lambda=5.0_alpha=0.1_gamma=0.0_mcw=2.0,0.05,6,2.0,0.85,0.4,5.0,0.1,0.0,2000,50,54,14,35882,0.7407407407407408,0.6594516594516594,0.8241758241758242,0.8971260221260221,73.33333333333333
symptomatic_non_covid_vs_covid,xgb_lr=0.1_depth=6_sub=1.0_col=0.6_lambda=5.0_alpha=0.0_gamma=1.0_mcw=2.0,0.1,6,2.0,1.0,0.6,5.0,0.0,1.0,2000,50,54,14,35882,0.7037037037037037,0.652958152958153,0.7825396825396825,0.9176587301587302,131.66666666666666
symptomatic_non_covid_vs_covid,xgb_lr=0.03_depth=4_sub=0.5_col=0.4_lambda=10.0_alpha=1.0_gamma=0.5_mcw=1.0,0.03,4,1.0,0.5,0.4,10.0,1.0,0.5,2000,50,54,14,35882,0.6296296296296297,0.5086580086580087,0.766453810131971,0.8202260702260702,460.3333333333333
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=4_sub=0.5_col=0.4_lambda=5.0_alpha=0.0_gamma=0.0_mcw=2.0,0.01,4,2.0,0.5,0.4,5.0,0.0,0.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.9269179894179894,93.33333333333333
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=2_sub=0.5_col=0.6_lambda=5.0_alpha=0.5_gamma=1.0_mcw=4.0,0.01,2,4.0,0.5,0.6,5.0,0.5,1.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,144.0
symptomatic_non_covid_vs_covid,xgb_lr=0.05_depth=6_sub=0.5_col=1.0_lambda=0.0_alpha=1.0_gamma=0.5_mcw=8.0,0.05,6,8.0,0.5,1.0,0.0,1.0,0.5,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=5_sub=1.0_col=0.6_lambda=0.0_alpha=0.5_gamma=1.0_mcw=4.0,0.01,5,4.0,1.0,0.6,0.0,0.5,1.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=6_sub=0.5_col=0.8_lambda=10.0_alpha=0.1_gamma=0.5_mcw=8.0,0.01,6,8.0,0.5,0.8,10.0,0.1,0.5,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.05_depth=4_sub=0.85_col=0.4_lambda=0.0_alpha=0.5_gamma=0.0_mcw=8.0,0.05,4,8.0,0.85,0.4,0.0,0.5,0.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.03_depth=2_sub=1.0_col=1.0_lambda=5.0_alpha=1.0_gamma=0.5_mcw=8.0,0.03,2,8.0,1.0,1.0,5.0,1.0,0.5,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.05_depth=5_sub=0.5_col=0.6_lambda=0.0_alpha=0.5_gamma=1.0_mcw=8.0,0.05,5,8.0,0.5,0.6,0.0,0.5,1.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.03_depth=6_sub=0.7_col=0.4_lambda=0.0_alpha=0.5_gamma=0.5_mcw=8.0,0.03,6,8.0,0.7,0.4,0.0,0.5,0.5,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=2_sub=1.0_col=0.8_lambda=0.0_alpha=0.0_gamma=1.0_mcw=8.0,0.01,2,8.0,1.0,0.8,0.0,0.0,1.0,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
symptomatic_non_covid_vs_covid,xgb_lr=0.01_depth=5_sub=0.85_col=0.6_lambda=5.0_alpha=1.0_gamma=0.5_mcw=8.0,0.01,5,8.0,0.85,0.6,5.0,1.0,0.5,2000,50,54,14,35882,0.6296296296296297,0.5,0.7724137931034484,0.5,1.0
